number,name,status
407,New release cycle and introducing long-term support versions,Deferred
404,Python 2.8 Un-release Schedule,Final
406,Improved Encapsulation of Import State,Withdrawn
403,General purpose decorator clause (aka “@in” clause),Deferred
402,Simplified Package Layout and Partitioning,Rejected
400,Deprecate codecs.StreamReader and codecs.StreamWriter,Deferred
401,BDFL Retirement,April Fool!
399,Pure Python/C Accelerator Module Compatibility Requirements,Final
398,Python 3.3 Release Schedule,Final
397,Python launcher for Windows,Final
395,Qualified Names for Modules,Withdrawn
396,Module Version Numbers,Rejected
394,The “python” Command on Unix-Like Systems,Active
393,Flexible String Representation,Final
392,Python 3.2 Release Schedule,Final
391,Dictionary-Based Configuration For Logging,Final
389,argparse - New Command Line Parsing Module,Final
386,Changing the version comparison module in Distutils,Superseded
385,Migrating from Subversion to Mercurial,Final
384,Defining a Stable ABI,Final
381,Mirroring infrastructure for PyPI,Withdrawn
379,Adding an Assignment Expression,Withdrawn
382,Namespace Packages,Rejected
383,Non-decodable Bytes in System Character Interfaces,Final
378,Format Specifier for Thousands Separator,Final
380,Syntax for Delegating to a Subgenerator,Final
377,Allow __enter__() methods to skip the statement body,Rejected
376,Database of Installed Python Distributions,Final
375,Python 3.1 Release Schedule,Final
370,Per user site-packages directory,Final
373,Python 2.7 Release Schedule,Final
371,Addition of the multiprocessing package to the standard library,Final
374,Choosing a distributed VCS for the Python project,Final
372,Adding an ordered dictionary to collections,Final
369,Post import hooks,Withdrawn
368,Standard image protocol and class,Deferred
367,New Super,Superseded
366,Main module explicit relative imports,Final
365,Adding the pkg_resources module,Rejected
363,Syntax For Dynamic Attribute Access,Rejected
361,Python 2.6 and 3.0 Release Schedule,Final
364,Transitioning to the Py3K Standard Library,Withdrawn
362,Function Signature Object,Final
360,Externally Maintained Packages,Final
359,The “make” Statement,Withdrawn
358,The “bytes” Object,Final
354,Enumerations in Python,Superseded
357,Allowing Any Object to be Used for Slicing,Final
353,Using ssize_t as the index type,Final
352,Required Superclass for Exceptions,Final
355,Path - Object oriented filesystem paths,Rejected
356,Python 2.5 Release Schedule,Final
351,The freeze protocol,Rejected
350,Codetags,Rejected
349,Allow str() to return unicode strings,Rejected
348,Exception Reorganization for Python 3.0,Rejected
344,Exception Chaining and Embedded Tracebacks,Superseded
346,User Defined (”,Withdrawn
343,The “with” Statement,Final
342,Coroutines via Enhanced Generators,Final
340,Anonymous Block Statements,Rejected
341,Unifying try-except and try-finally,Final
339,Design of the CPython Compiler,Withdrawn
338,Executing modules as scripts,Final
337,Logging Usage in the Standard Library,Deferred
335,Overloadable Boolean Operators,Rejected
336,Make None Callable,Rejected
334,Simple Coroutines via SuspendIteration,Withdrawn
332,Byte vectors and String/Unicode Unification,Rejected
331,Locale-Independent Float/String Conversions,Final
329,Treating Builtins as Constants in the Standard Library,Rejected
328,Imports: Multi-Line and Absolute/Relative,Final
330,Python Bytecode Verification,Rejected
327,Decimal Data Type,Final
326,A Case for Top and Bottom Values,Rejected
324,subprocess - New process module,Final
321,Date/Time Parsing and Formatting,Withdrawn
323,Copyable Iterators,Deferred
320,Python 2.4 Release Schedule,Final
322,Reverse Iteration,Final
318,Decorators for Functions and Methods,Final
319,Python Synchronize/Asynchronize Block,Rejected
317,Eliminate Implicit Exception Instantiation,Rejected
316,Programming by Contract for Python,Deferred
315,Enhanced While Loop,Rejected
312,Simple Implicit Lambda,Deferred
313,Adding Roman Numeral Literals to Python,Rejected
311,Simplified Global Interpreter Lock Acquisition for Extensions,Final
325,Resource-Release Support for Generators,Rejected
308,Conditional Expressions,Final
310,Reliable Acquisition/Release Pairs,Rejected
309,Partial Function Application,Final
307,Extensions to the pickle protocol,Final
303,Extend divmod() for Multiple Divisors,Rejected
306,How to Change Python’s Grammar,Withdrawn
304,Controlling Generation of Bytecode Files,Withdrawn
302,New Import Hooks,Final
301,Package Index and Metadata for Distutils,Final
299,Special __main__() function in modules,Rejected
296,Adding a bytes Object Type,Withdrawn
298,The Locked Buffer Interface,Withdrawn
297,Support for System Upgrades,Rejected
295,Interpretation of multiline string constants,Rejected
294,Type Names in the types Module,Rejected
293,Codec Error Handling Callbacks,Final
292,Simpler String Substitutions,Final
291,Backward Compatibility for the Python 2 Standard Library,Final
289,Generator Expressions,Final
290,Code Migration and Modernization,Active
286,Enhanced Argument Tuples,Deferred
288,Generators Attributes and Exceptions,Withdrawn
285,Adding a bool type,Final
283,Python 2.3 Release Schedule,Final
284,Integer for-loops,Rejected
282,A Logging System,Final
279,The enumerate() built-in function,Final
278,Universal Newline Support,Final
280,Optimizing access to globals,Deferred
281,Loop Counter Iteration with range and xrange,Rejected
277,Unicode file name support for Windows NT,Final
276,Simple Iterator for ints,Rejected
275,Switching on Multiple Values,Rejected
274,Dict Comprehensions,Final
273,Import Modules from Zip Archives,Final
272,API for Block Encryption Algorithms v1.0,Final
271,Prefixing sys.path by command line option,Rejected
270,uniq method for list objects,Rejected
269,Pgen Module for Python,Deferred
268,Extended HTTP functionality and WebDAV,Rejected
265,Sorting Dictionaries by Value,Rejected
266,Optimizing Global Variable/Attribute Access,Withdrawn
267,Optimized Access to Module Namespaces,Deferred
264,Future statements in simulated shells,Final
262,A Database of Installed Python Packages,Rejected
263,Defining Python Source Code Encodings,Final
261,Support for “wide” Unicode characters,Final
260,Simplify xrange(),Final
255,Simple Generators,Final
254,Making Classes Look More Like Types,Rejected
253,Subtyping Built-in Types,Final
252,Making Types Look More Like Classes,Final
251,Python 2.2 Release Schedule,Final
250,Using site-packages on Windows,Final
247,API for Cryptographic Hash Functions,Final
246,Object Adaptation,Rejected
245,Python Interface Syntax,Rejected
259,Omit printing newline after newline,Rejected
244,The ,Rejected
239,Adding a Rational Type to Python,Rejected
240,Adding a Rational Literal to Python,Rejected
237,Unifying Long Integers and Integers,Final
238,Changing the Division Operator,Final
242,Numeric Kinds,Rejected
236,Back to the __future__,Final
229,Using Distutils to Build Python,Final
232,Function Attributes,Final
231,__findattr__(),Rejected
230,Warning Framework,Final
235,Import on Case-Insensitive Platforms,Final
233,Python Online Help,Deferred
234,Iterators,Final
228,Reworking Python’s Numeric Model,Withdrawn
221,Import As,Final
227,Statically Nested Scopes,Final
223,Change the Meaning of ,Final
222,Web Library Enhancements,Deferred
226,Python 2.1 Release Schedule,Final
225,Elementwise/Objectwise Operators,Rejected
224,Attribute Docstrings,Rejected
220,"Coroutines, Generators, Continuations",Rejected
216,Docstring Format,Rejected
219,Stackless Python,Deferred
215,String Interpolation,Superseded
103,Collecting information about git,Withdrawn
218,Adding a Built-In Set Object Type,Final
217,Display Hook for Interactive Use,Final
160,Python 1.6 Release Schedule,Final
102,Doing Python Micro Releases,Superseded
11,CPython platform support,Active
13,Python Language Governance,Active
42,Feature Requests,Withdrawn
12,Sample reStructuredText PEP Template,Active
101,Doing Python Releases 101,Active
20,The Zen of Python,Active
100,Python Unicode Integration,Final
10,Voting Guidelines,Active
8,Style Guide for Python Code,Active
7,Style Guide for C Code,Active
9,Sample Plaintext PEP Template,Withdrawn
6,Bug Fix Releases,Active
5,Guidelines for Language Evolution,Active
4,Deprecation of Standard Modules,Active
3,Guidelines for Handling Bug Reports,Withdrawn
2,Procedure for Adding New Modules,Active
