number,name,status
672,Unicode-related Security Considerations for Python,Active
670,Convert macros to functions in the Python C API,Final
667,Consistent views of namespaces,Draft
666,Reject Foolish Indentation,Rejected
664,Python 3.11 Release Schedule,Active
659,Specializing Adaptive Interpreter,Draft
654,Exception Groups and except*,Accepted
653,Precise Semantics for Pattern Matching,Draft
651,Robust Stack Overflow Handling,Rejected
640,Unused variable syntax,Rejected
628,Add ,Final
624,Remove Py_UNICODE encoder APIs,Final
620,Hide implementation details from the C API,Withdrawn
619,Python 3.10 Release Schedule,Active
611,The one million limit,Withdrawn
606,Python Compatibility Version,Rejected
608,Coordinated Python release,Rejected
597,Add optional EncodingWarning,Final
583,A Concurrency Memory Model for Python,Withdrawn
577,Augmented Assignment Expressions,Withdrawn
575,Unifying function/method classes,Withdrawn
572,Assignment Expressions,Final
569,Python 3.8 Release Schedule,Active
568,Generator-sensitivity for Context Variables,Deferred
567,Context Variables,Final
565,Show DeprecationWarning in __main__,Final
564,Add new time functions with nanosecond resolution,Final
562,Module __getattr__ and __dir__,Final
555,Context-local variables (contextvars),Withdrawn
561,Distributing and Packaging Type Information,Final
560,Core support for typing module and generic types,Accepted
559,Built-in noop(),Rejected
557,Data Classes,Final
556,Threaded garbage collection,Deferred
552,Deterministic pycs,Final
551,Security transparency in the Python runtime,Withdrawn
550,Execution Context,Withdrawn
548,More Flexible Loop Control,Rejected
553,Built-in breakpoint(),Final
547,Running extension modules using the -m option,Deferred
543,A Unified TLS API for Python,Withdrawn
542,Dot Notation Assignment In Function Header,Rejected
545,Python Documentation Translations,Final
534,Improved Errors for Missing Standard Library Modules,Deferred
531,Existence checking operators,Withdrawn
537,Python 3.7 Release Schedule,Final
536,Final Grammar for Literal String Interpolation,Deferred
535,Rich comparison chaining,Deferred
532,A circuit breaking protocol and binary operators,Deferred
526,Syntax for Variable Annotations,Final
524,Make os.urandom() blocking on Linux,Final
529,Change Windows filesystem encoding to UTF-8,Final
523,Adding a frame evaluation API to CPython,Final
522,Allow BlockingIOError in security sensitive APIs,Rejected
528,Change Windows console encoding to UTF-8,Final
521,Managing global context via ‘with’ blocks in generators and coroutines,Withdrawn
520,Preserving Class Attribute Definition Order,Final
519,Adding a file system path protocol,Final
515,Underscores in Numeric Literals,Final
511,API for code transformers,Rejected
510,Specialize functions with guards,Rejected
509,Add a private version to dict,Superseded
506,Adding A Secrets Module To The Standard Library,Final
507,Migrate CPython to Git and GitLab,Rejected
505,None-aware operators,Deferred
504,Using the System RNG by default,Withdrawn
502,String Interpolation - Extended Discussion,Rejected
501,General purpose string interpolation,Deferred
498,Literal String Interpolation,Final
494,Python 3.6 Release Schedule,Final
490,Chain exceptions at C level,Rejected
488,Elimination of PYO files,Final
487,Simpler customisation of class creation,Final
485,A Function for testing approximate equality,Final
486,Make the Python Launcher aware of virtual environments,Final
481,"Migrate CPython to Git, Github, and Phabricator",Withdrawn
473,Adding structured data to built-in exceptions,Rejected
478,Python 3.5 Release Schedule,Final
476,Enabling certificate verification by default for stdlib http clients,Final
474,Creating forge.python.org,Withdrawn
469,Migration of dict iteration code to Python 3,Withdrawn
467,Minor API improvements for binary sequences,Draft
466,Network Security Enhancements for Python 2.7.x,Final
465,A dedicated infix operator for matrix multiplication,Final
463,Exception-catching expressions,Rejected
462,Core development workflow automation for CPython,Withdrawn
461,Adding % formatting to bytes and bytearray,Final
460,Add binary interpolation and formatting,Withdrawn
452,API for Cryptographic Hash Functions v2.0,Final
450,Adding A Statistics Module To The Standard Library,Final
447,Add __getdescriptor__ method to metaclass,Deferred
446,Make newly created file descriptors non-inheritable,Final
437,"A DSL for specifying signatures, annotations and argument converters",Rejected
433,Easier suppression of file descriptor inheritance,Superseded
435,Adding an Enum type to the Python standard library,Final
429,Python 3.4 Release Schedule,Final
428,The pathlib module – object-oriented filesystem paths,Final
424,A method for exposing a length hint,Final
422,Simpler customisation of class creation,Withdrawn
420,Implicit Namespace Packages,Final
419,Protecting cleanup statements from interruptions,Deferred
418,"Add monotonic time, performance counter, and process time functions",Final
417,Including mock in the Standard Library,Final
416,Add a frozendict builtin type,Rejected
414,Explicit Unicode Literal for Python 3.3,Final
413,Faster evolution of the Python Standard Library,Withdrawn
412,Key-Sharing Dictionary,Final
410,Use decimal.Decimal type for timestamps,Rejected
409,Suppressing exception context,Final
411,Provisional packages in the Python standard library,Superseded
407,New release cycle and introducing long-term support versions,Deferred
406,Improved Encapsulation of Import State,Withdrawn
404,Python 2.8 Un-release Schedule,Final
403,General purpose decorator clause (aka “@in” clause),Deferred
408,Standard library __preview__ package,Rejected
402,Simplified Package Layout and Partitioning,Rejected
401,BDFL Retirement,April Fool!
398,Python 3.3 Release Schedule,Final
397,Python launcher for Windows,Final
396,Module Version Numbers,Rejected
400,Deprecate codecs.StreamReader and codecs.StreamWriter,Deferred
399,Pure Python/C Accelerator Module Compatibility Requirements,Final
393,Flexible String Representation,Final
394,The “python” Command on Unix-Like Systems,Active
395,Qualified Names for Modules,Withdrawn
392,Python 3.2 Release Schedule,Final
391,Dictionary-Based Configuration For Logging,Final
386,Changing the version comparison module in Distutils,Superseded
389,argparse - New Command Line Parsing Module,Final
385,Migrating from Subversion to Mercurial,Final
384,Defining a Stable ABI,Final
383,Non-decodable Bytes in System Character Interfaces,Final
381,Mirroring infrastructure for PyPI,Withdrawn
379,Adding an Assignment Expression,Withdrawn
378,Format Specifier for Thousands Separator,Final
382,Namespace Packages,Rejected
380,Syntax for Delegating to a Subgenerator,Final
376,Database of Installed Python Distributions,Final
377,Allow __enter__() methods to skip the statement body,Rejected
375,Python 3.1 Release Schedule,Final
368,Standard image protocol and class,Deferred
369,Post import hooks,Withdrawn
372,Adding an ordered dictionary to collections,Final
371,Addition of the multiprocessing package to the standard library,Final
370,Per user site-packages directory,Final
373,Python 2.7 Release Schedule,Final
374,Choosing a distributed VCS for the Python project,Final
367,New Super,Superseded
366,Main module explicit relative imports,Final
365,Adding the pkg_resources module,Rejected
362,Function Signature Object,Final
361,Python 2.6 and 3.0 Release Schedule,Final
360,Externally Maintained Packages,Final
363,Syntax For Dynamic Attribute Access,Rejected
364,Transitioning to the Py3K Standard Library,Withdrawn
359,The “make” Statement,Withdrawn
358,The “bytes” Object,Final
354,Enumerations in Python,Superseded
353,Using ssize_t as the index type,Final
357,Allowing Any Object to be Used for Slicing,Final
356,Python 2.5 Release Schedule,Final
355,Path - Object oriented filesystem paths,Rejected
352,Required Superclass for Exceptions,Final
351,The freeze protocol,Rejected
350,Codetags,Rejected
349,Allow str() to return unicode strings,Rejected
344,Exception Chaining and Embedded Tracebacks,Superseded
348,Exception Reorganization for Python 3.0,Rejected
346,User Defined (”,Withdrawn
343,The “with” Statement,Final
342,Coroutines via Enhanced Generators,Final
341,Unifying try-except and try-finally,Final
334,Simple Coroutines via SuspendIteration,Withdrawn
337,Logging Usage in the Standard Library,Deferred
336,Make None Callable,Rejected
340,Anonymous Block Statements,Rejected
339,Design of the CPython Compiler,Withdrawn
335,Overloadable Boolean Operators,Rejected
338,Executing modules as scripts,Final
332,Byte vectors and String/Unicode Unification,Rejected
331,Locale-Independent Float/String Conversions,Final
330,Python Bytecode Verification,Rejected
329,Treating Builtins as Constants in the Standard Library,Rejected
328,Imports: Multi-Line and Absolute/Relative,Final
327,Decimal Data Type,Final
326,A Case for Top and Bottom Values,Rejected
321,Date/Time Parsing and Formatting,Withdrawn
319,Python Synchronize/Asynchronize Block,Rejected
324,subprocess - New process module,Final
323,Copyable Iterators,Deferred
322,Reverse Iteration,Final
318,Decorators for Functions and Methods,Final
325,Resource-Release Support for Generators,Rejected
320,Python 2.4 Release Schedule,Final
310,Reliable Acquisition/Release Pairs,Rejected
317,Eliminate Implicit Exception Instantiation,Rejected
316,Programming by Contract for Python,Deferred
312,Simple Implicit Lambda,Deferred
311,Simplified Global Interpreter Lock Acquisition for Extensions,Final
315,Enhanced While Loop,Rejected
313,Adding Roman Numeral Literals to Python,Rejected
303,Extend divmod() for Multiple Divisors,Rejected
304,Controlling Generation of Bytecode Files,Withdrawn
308,Conditional Expressions,Final
302,New Import Hooks,Final
307,Extensions to the pickle protocol,Final
306,How to Change Python’s Grammar,Withdrawn
309,Partial Function Application,Final
301,Package Index and Metadata for Distutils,Final
297,Support for System Upgrades,Rejected
298,The Locked Buffer Interface,Withdrawn
296,Adding a bytes Object Type,Withdrawn
295,Interpretation of multiline string constants,Rejected
294,Type Names in the types Module,Rejected
293,Codec Error Handling Callbacks,Final
299,Special __main__() function in modules,Rejected
288,Generators Attributes and Exceptions,Withdrawn
291,Backward Compatibility for the Python 2 Standard Library,Final
286,Enhanced Argument Tuples,Deferred
285,Adding a bool type,Final
292,Simpler String Substitutions,Final
290,Code Migration and Modernization,Active
289,Generator Expressions,Final
284,Integer for-loops,Rejected
279,The enumerate() built-in function,Final
278,Universal Newline Support,Final
283,Python 2.3 Release Schedule,Final
277,Unicode file name support for Windows NT,Final
282,A Logging System,Final
281,Loop Counter Iteration with range and xrange,Rejected
280,Optimizing access to globals,Deferred
274,Dict Comprehensions,Final
272,API for Block Encryption Algorithms v1.0,Final
275,Switching on Multiple Values,Rejected
273,Import Modules from Zip Archives,Final
276,Simple Iterator for ints,Rejected
271,Prefixing sys.path by command line option,Rejected
269,Pgen Module for Python,Deferred
270,uniq method for list objects,Rejected
268,Extended HTTP functionality and WebDAV,Rejected
267,Optimized Access to Module Namespaces,Deferred
263,Defining Python Source Code Encodings,Final
262,A Database of Installed Python Packages,Rejected
266,Optimizing Global Variable/Attribute Access,Withdrawn
265,Sorting Dictionaries by Value,Rejected
264,Future statements in simulated shells,Final
261,Support for “wide” Unicode characters,Final
260,Simplify xrange(),Final
255,Simple Generators,Final
259,Omit printing newline after newline,Rejected
254,Making Classes Look More Like Types,Rejected
253,Subtyping Built-in Types,Final
252,Making Types Look More Like Classes,Final
247,API for Cryptographic Hash Functions,Final
251,Python 2.2 Release Schedule,Final
250,Using site-packages on Windows,Final
245,Python Interface Syntax,Rejected
246,Object Adaptation,Rejected
244,The ,Rejected
239,Adding a Rational Type to Python,Rejected
242,Numeric Kinds,Rejected
240,Adding a Rational Literal to Python,Rejected
238,Changing the Division Operator,Final
237,Unifying Long Integers and Integers,Final
236,Back to the __future__,Final
235,Import on Case-Insensitive Platforms,Final
230,Warning Framework,Final
231,__findattr__(),Rejected
234,Iterators,Final
233,Python Online Help,Deferred
232,Function Attributes,Final
229,Using Distutils to Build Python,Final
228,Reworking Python’s Numeric Model,Withdrawn
227,Statically Nested Scopes,Final
224,Attribute Docstrings,Rejected
220,"Coroutines, Generators, Continuations",Rejected
226,Python 2.1 Release Schedule,Final
225,Elementwise/Objectwise Operators,Rejected
222,Web Library Enhancements,Deferred
221,Import As,Final
223,Change the Meaning of ,Final
219,Stackless Python,Deferred
214,Extended Print Statement,Final
217,Display Hook for Interactive Use,Final
215,String Interpolation,Superseded
218,Adding a Built-In Set Object Type,Final
212,Loop Counter Iteration,Rejected
213,Attribute Access Handlers,Deferred
216,Docstring Format,Rejected
211,Adding A New Outer Product Operator,Rejected
210,Decoupling the Interpreter Loop,Rejected
20,The Zen of Python,Active
11,CPython platform support,Active
13,Python Language Governance,Active
209,Multi-dimensional Arrays,Withdrawn
12,Sample reStructuredText PEP Template,Active
10,Voting Guidelines,Active
9,Sample Plaintext PEP Template,Withdrawn
7,Style Guide for C Code,Active
6,Bug Fix Releases,Active
5,Guidelines for Language Evolution,Active
4,Deprecation of Standard Modules,Active
3,Guidelines for Handling Bug Reports,Withdrawn
8,Style Guide for Python Code,Active
2,Procedure for Adding New Modules,Active
